First Class,Second Class,Ave Pred Toxicity,Toxicity Range (Min-Max),Valid Molecules,Correlation Coefficient
Other PFASs,Amide derivatives,4.988804471153846,2.0307 - 9.9978,104,0.209
Other PFASs,Aromatic PFASs,4.719849067766497,2.2926 - 22.2714,788,0.410
Other PFASs,PFPEs,3.190569258730159,1.7105 - 8.3117,63,0.393
Other PFASs,Perfluoroalkanes,3.8892497452380947,2.7196 - 5.5085,42,0.173
Other PFASs,Polyfluoroalkanes,3.7471768763736266,2.5742 - 7.8645,182,0.597
Other PFASs,Si PFASs,6.940474034090909,2.1841 - 23.7900,88,0.158
Other PFASs,others,4.358461402105263,1.6030 - 12.3533,285,0.367
"Other PFASs, cyclic","Perfluoroalkanes, cyclic",5.033827525714285,2.2851 - 7.6270,35,0.901
"Other PFASs, cyclic","others, cyclic",4.4534809862068965,2.6422 - 10.6560,58,0.629
PFAA precursors,HFCs,4.441275059748428,2.5742 - 7.8645,159,0.540
PFAA precursors,HFEs,3.497273268627451,1.9462 - 6.6930,51,0.453
PFAA precursors,PASF-based substances,5.845179357692308,2.5023 - 19.5767,182,-0.017
PFAA precursors,PFAIs,3.402654711764706,1.8593 - 4.4581,34,0.775
PFAA precursors,PFAK derivatives,4.005609314516129,2.1993 - 10.4293,62,0.343
PFAA precursors,PFAenes,3.448083240625,2.7661 - 4.4046,32,-0.081
PFAA precursors,PolyFAC derivatives,4.860615523076923,4.0654 - 7.5373,26,0.360
PFAA precursors,PolyFACs,4.066078423376623,2.1868 - 6.0567,77,0.022
PFAA precursors,PolyFAenes,3.4107364308823533,2.6145 - 7.2711,68,0.232
PFAA precursors,PolyFEACs,4.2049137000000005,2.0631 - 8.6996,45,0.533
PFAA precursors,SFAenes,3.938413951351351,2.9314 - 5.3635,37,0.523
PFAA precursors,n:2 fluorotelomer-based substances,5.346641300724637,2.2877 - 12.9607,138,0.081
"PFAA precursors, cyclic","HFEs, cyclic",3.4422778310344833,2.1267 - 4.8828,29,0.204
PFAAs,PFCA-ester derivatives,4.947763472972973,3.6866 - 7.2514,37,-0.120
PFAAs,PFCAs,4.0957690203125,2.4546 - 5.2528,64,0.077
PFAAs,PFECAs,4.1456220913043484,3.1952 - 5.3557,23,0.747
PFAAs,PFSA derivatives,3.480697423809524,2.4778 - 7.4720,21,-0.079
Polyfluoroalkyl acids,PolyFCA derivatives,5.538678696917808,2.3733 - 14.7330,292,0.239
Polyfluoroalkyl acids,PolyFCAs,4.398994261538461,3.0688 - 6.5806,26,-0.328
